Year,Organization Group,Job Family,Job,Salaries,Overtime,Other Salaries,Total Salary
2005,Community Health,Nursing,Special Nurse,141663.23,2448.15,14674.61,158785.99
2005,Public Protection,Police Services,Police Officer 3,127210.71,20177.75,11397.18,158785.64
2011,"Public Works, Transportation & Commerce",Management,Manager V,158784.01,0,0,158784.01
2007,Public Protection,Fire Services,Firefighter,111141.07,30072.28,17570.56,158783.91
2014,Community Health,Nursing,Registered Nurse,142544.21,0,16236.56,158780.77
2003,Community Health,Public Health,Public Health Nurse,152810.32,0,5963.6,158773.92
1994,Public Protection,Police Services,Police Officer 3,119569.1,24934.26,14265.23,158768.59
2017,Community Health,"Lab, Pharmacy & Med Techs",Clinical Pharmacist,158272.5,0,494.4,158766.9
1994,General Administration & Finance,Professional Engineering,Planner 5,158766.37,0,0,158766.37
2000,"Public Works, Transportation & Commerce",Professional Engineering,Structural Engineer,158766.37,0,0,158766.37
2000,"Public Works, Transportation & Commerce",Professional Engineering,Structural Engineer,158766.35,0,0,158766.35
1993,"Public Works, Transportation & Commerce",Professional Engineering,Structural Engineer,158766.34,0,0,158766.34
1998,"Public Works, Transportation & Commerce",Professional Engineering,Planner 5,158766.34,0,0,158766.34
1994,"Public Works, Transportation & Commerce",Professional Engineering,Building Plans Engineer,158766.33,0,0,158766.33
1992,"Public Works, Transportation & Commerce",Professional Engineering,Structural Engineer,158766.31,0,0,158766.31
2008,"Public Works, Transportation & Commerce",Professional Engineering,Planner 5,158766.31,0,0,158766.31
1998,"Public Works, Transportation & Commerce",Professional Engineering,Structural Engineer,158766.31,0,0,158766.31
2003,Community Health,Nursing,Registered Nurse,122749.86,7590.29,28425.37,158765.52
2004,Public Protection,Correction & Detention,Deputy Sheriff,100492.15,41748,16524.61,158764.76
1993,"Public Works, Transportation & Commerce",Journeyman Trade,Sheet Metal Worker,103835.11,50749.35,4179.15,158763.61
2017,General Administration & Finance,Information Systems,IS Project Director,158761.5,0,0,158761.5
2005,Community Health,Nursing,Registered Nurse,144485.5,5901.02,8372.46,158758.98
1992,Public Protection,Police Services,Police Officer 2,118320.28,22103.69,18326.12,158750.09
2012,Public Protection,Police Services,Police Officer 3,122486.11,20099.02,16164.23,158749.36
1998,Public Protection,Police Services,Sergeant 2,135696.5,12109.77,10934.18,158740.45
2014,Community Health,"Lab, Pharmacy & Med Techs",Pharmacist,154503.01,615.24,3618.6,158736.85
1997,"Public Works, Transportation & Commerce",Management,Manager V,158734.43,0,0,158734.43
1997,Public Protection,Police Services,Sergeant 3,138076.56,2736.43,17918.18,158731.17
2016,Public Protection,Fire Services,"Captain, Emergency Med Svcs",144262.85,4156.79,10310.84,158730.48
2017,"Public Works, Transportation & Commerce",Management,Manager IV,158724.3,0,0,158724.3
1995,"Public Works, Transportation & Commerce",Management,Manager VII,158724.06,0,0,158724.06
2016,Public Protection,Police Services,Police Officer 2,119097.91,25592.13,14033.95,158723.99
2016,Public Protection,Fire Services,Firefighter,112703.74,27409.92,18606.6,158720.26
2006,Public Protection,Fire Services,Firefighter,112889.82,26752.08,19072.94,158714.84
2011,"Public Works, Transportation & Commerce",Management,Manager V,158712.96,0,0,158712.96
2003,Community Health,Nursing,Nurse Practitioner,158462.64,0,250,158712.64
1996,Community Health,Nursing,Registered Nurse,138441.59,1969.15,18298.92,158709.66
2007,Public Protection,Fire Services,Firefighter,113544.7,27180.45,17980.12,158705.27
1996,"Public Works, Transportation & Commerce",Journeyman Trade,Senior Water Service Inspector,125253.9,12108.82,21335.94,158698.66
2005,Public Protection,Fire Services,Firefighter,116099.57,23064.17,19531.51,158695.25
2005,General Administration & Finance,Management,Dep Dir III,158693.82,0,0,158693.82
1995,Community Health,"Lab, Pharmacy & Med Techs",Radiologic Tech Sprv,134789.74,10504.08,13398.4,158692.22
2011,Public Protection,Police Services,Inspector 3,140574.5,7746.89,10367.71,158689.1
2016,Public Protection,Police Services,Police Officer 2,120697.5,22441.33,15543.05,158681.88
2003,Public Protection,Police Services,Sergeant 3,141663.09,4293.29,12725.47,158681.85
2008,Public Protection,Police Services,Sergeant 3,137336.98,13510.05,7831.41,158678.44
2009,Public Protection,Fire Services,Incident Support Specialist,81067.7,39387.84,38219.1,158674.64
2012,Public Protection,Protection & Apprehension,Public Safetycomm Disp,99571.51,47103.97,11997.32,158672.8
1993,Public Protection,Correction & Detention,Sheriff's Captain,144456.01,1540.74,12671.12,158667.87
2001,Community Health,Nursing,Registered Nurse,149045.76,0,9615.11,158660.87
2016,Community Health,Nursing,Registered Nurse,133411.6,0,25248.33,158659.93
1993,Public Protection,Fire Services,Firefighter,112703.73,27912.32,18039.58,158655.63
2013,Community Health,Management,Manager VI,158653.82,0,0,158653.82
2000,Public Protection,Police Services,Police Officer 3,118898.28,32320.07,7427.26,158645.61
2003,Community Health,Information Systems,IS Project Director,158644.05,0,0,158644.05
2006,Community Health,Nursing,Registered Nurse,136346.55,3004.48,19292.21,158643.24
2006,Public Protection,Correction & Detention,Deputy Sheriff,100679.82,40206.31,17751.72,158637.85
1992,"Public Works, Transportation & Commerce",Management,Manager IV,158636.02,0,0,158636.02
2017,Public Protection,Police Services,Sergeant 3,142686.75,14086.09,1860.05,158632.89
2004,Public Protection,Correction & Detention,Deputy Sheriff,95968.4,38675.43,23985.72,158629.55
1998,Community Health,Nursing,Registered Nurse,126619.92,1362.48,30638.39,158620.79
2017,Public Protection,Fire Services,EMT/Paramedic/Firefighter,130444.88,12588.87,15586.89,158620.64
2010,"Public Works, Transportation & Commerce",Supervisory-Labor & Trade,Utility Plumber Supervisor 1,109297.21,38134.91,11185.01,158617.13
2002,Public Protection,Legal & Court,Attorney (Civil/Criminal),157112.1,0,1500,158612.1
2000,"Public Works, Transportation & Commerce",Journeyman Trade,Electronic Maintenance Tech,124730.32,27354.56,6525.42,158610.3
2011,Public Protection,Professional Engineering,Fire Protection Engineer,146952,11657.25,0,158609.25
2010,Public Protection,Correction & Detention,Deputy Sheriff,90852.38,48968.95,18785.63,158606.96
1997,"Public Works, Transportation & Commerce",Journeyman Trade,"Electrl Trnst Mech, Asst Sprv",83193.2,52355.63,23056.01,158604.84
2015,Public Protection,Police Services,Inspector 3,124714.53,9718.93,24168.97,158602.43
2011,"Public Works, Transportation & Commerce",Management,Manager V,158598.53,0,0,158598.53
2001,Public Protection,Police Services,Sergeant 3,137636.67,0,20958.73,158595.4
2006,Public Protection,Fire Services,"Lieutenant, Fire Suppression",130961.02,11718.28,15913.51,158592.81
2017,Public Protection,Fire Services,Firefighter,112703.74,27567.74,18319.56,158591.04
2008,Public Protection,Police Services,Sergeant 3,143214.55,5793.75,9580.59,158588.89
2000,Public Protection,Fire Services,EMT/Paramedic/Firefighter,115546.82,32818.26,10221.72,158586.8
2000,Public Protection,Police Services,Police Officer 3,126742.07,27214.03,4630.01,158586.11
1993,Community Health,Nursing,Registered Nurse,146904.45,142.78,11534.13,158581.36
2004,Community Health,"Lab, Pharmacy & Med Techs",Clinical Pharmacist,158272.51,56.17,248.26,158576.94
2016,Public Protection,Fire Services,"Insp, Fire Dept",134472,16035.74,8068.32,158576.06
2013,Public Protection,Police Services,"Sergeant, (Police Department)",129811.58,17945.97,10818.33,158575.88
1997,Public Protection,Fire Services,EMT/Paramedic/Firefighter,128638.38,12480.33,17456.33,158575.04
2015,Public Protection,Fire Services,Firefighter,113827.04,17997.2,26746.38,158570.62
2005,Community Health,Nursing,Special Nurse,150700.6,6655.55,1214.46,158570.61
2009,Public Protection,Police Services,Police Officer,107400.16,43071.48,8096.05,158567.69
2000,Public Protection,Correction & Detention,Deputy Sheriff,91214.64,47763.08,19589.7,158567.42
2000,Public Protection,Police Services,Sergeant 3,139499.62,717.29,18349.13,158566.04
2011,Public Protection,Police Services,Police Officer 3,121248.93,26454.63,10858.37,158561.93
2012,Community Health,Nursing,Registered Nurse,150276.2,0,8283.81,158560.01
1998,Public Protection,Police Services,Police Officer 3,121248.92,28614.41,8696.31,158559.64
2004,Community Health,"Lab, Pharmacy & Med Techs",Clinical Pharmacist,150783.81,2094.2,5681.29,158559.3
2001,Community Health,Nursing,Registered Nurse,153738.94,1864.93,2947.88,158551.75
2007,Public Protection,Police Services,Sergeant 3,139347.83,2160.12,17040.23,158548.18
2010,"Public Works, Transportation & Commerce",Journeyman Trade,Electronic Maintenance Tech,115257.6,34838.93,8450.01,158546.54
1998,Community Health,Nursing,Registered Nurse,146581.4,0,11956.67,158538.07
2003,"Public Works, Transportation & Commerce",Journeyman Trade,Electrical Transit System Mech,79222,65953.85,13358.76,158534.61
2007,Community Health,Nursing,Nurse Practitioner,153838.6,0,4693.08,158531.68
2001,"Public Works, Transportation & Commerce",Supervisory-Labor & Trade,Street Repair Supervisor 2,111243.9,25760.64,21525.13,158529.67
2005,Community Health,Nursing,Registered Nurse,127151.2,3599.72,27775.77,158526.69
1995,Public Protection,Police Services,Police Officer 2,118886.43,31289.1,8346.64,158522.17
2016,Public Protection,Police Services,Police Officer 3,121826.32,27064.49,9629.62,158520.43
1992,Public Protection,Fire Services,Firefighter,115908.46,20174.21,22434.84,158517.51
2011,Public Protection,Police Services,Police Officer 3,119469.85,23470.55,15570.86,158511.26
2016,Community Health,Nursing,Registered Nurse,156791.62,0,1718.86,158510.48
1998,Public Protection,Police Services,Sergeant 3,137982.29,14407.98,6116.19,158506.46
1994,Public Protection,Police Services,Sergeant 3,136596.69,5862.58,16045.05,158504.32
2004,Public Protection,Police Services,Police Officer 3,118326.41,35087.06,5088,158501.47
1998,Community Health,Nursing,Clinical Nurse Specialist,158501.21,0,0,158501.21
2015,Public Protection,Fire Services,"Lieutenant, Fire Suppression",134905.14,11511.49,12084.4,158501.03
2004,"Public Works, Transportation & Commerce",Skilled Labor,Power Generation Supervisor,128910.83,17859.26,11728.42,158498.51
2002,"Public Works, Transportation & Commerce",Street Transit,Transit Supervisor,92727.6,60445.35,5323.58,158496.53
2002,Community Health,Nursing,Nurse Manager,145539,0,12955.41,158494.41
2017,Public Protection,Police Services,Police Officer 3,114173.92,31698.52,12621.54,158493.98
1999,Public Protection,Fire Services,Firefighter,117526.41,15552.16,25407.89,158486.46
1992,Public Protection,Police Services,Police Officer 2,123828.62,30395.62,4258.48,158482.72
1993,Public Protection,Police Services,Sergeant 2,136054,8436.94,13989.82,158480.76
2016,"Public Works, Transportation & Commerce",Airport Operation,Airport Mechanical Maint Sprv,147439.07,0,11041.56,158480.63
2007,Community Health,Management,Manager IV,158474.69,0,0,158474.69
2004,"Public Works, Transportation & Commerce",Management,Manager IV,158474.55,0,0,158474.55
2001,Community Health,Med Therapy & Auxiliary,Health Program Coordinator 3,112168.14,18123.17,28182.33,158473.64
1994,Community Health,Nursing,Registered Nurse,147190,0,11279.34,158469.34
1994,Public Protection,Correction & Detention,Senior Deputy Sheriff,116405.93,14617.12,27441.9,158464.95
2008,"Public Works, Transportation & Commerce",Information Systems,IS Project Director,158051.65,0,412.58,158464.23
2012,Human Welfare & Neighborhood Development,Management,Dep Dir III,158459.22,0,0,158459.22
2005,Public Protection,Fire Services,"Lieutenant, Fire Suppression",130079.8,10859.64,17519.5,158458.94
2008,Community Health,Nursing,Registered Nurse,148314.25,0,10134.93,158449.18
2004,Community Health,Nursing,Nurse Manager,132940,0,25508.6,158448.6
1993,Community Health,Medical & Dental,Senior Physician Specialist,158443.06,0,0,158443.06
2006,Community Health,Nursing,Registered Nurse,148314.2,0,10122.39,158436.59
2009,Public Protection,Fire Services,Firefighter,113028.37,25899.77,19508.16,158436.3
2014,Community Health,Nursing,Registered Nurse,129028.63,381.61,29024.79,158435.03
2002,Public Protection,Fire Services,Firefighter,112889.8,27064.2,18479.84,158433.84
1992,Public Protection,Correction & Detention,Deputy Sheriff,95580.29,43354.12,19499.03,158433.44
2014,"Public Works, Transportation & Commerce",Professional Engineering,Eng/Arch/Landscape Arch Sr,147727.9,0,10701.73,158429.63
2011,Community Health,Nursing,Registered Nurse,158177.78,0,250,158427.78
2009,Public Protection,Fire Services,EMT/Paramedic/Firefighter,130444.9,12302.22,15680.32,158427.44
2002,Community Health,Nursing,Registered Nurse,152864.9,1143.6,4418.74,158427.24
2007,Public Protection,Police Services,Sergeant 3,138579.14,6181.85,13662.31,158423.3
2000,Public Protection,Fire Services,Firefighter,106326.78,40485.03,11609.92,158421.73
1998,Public Protection,Police Services,Sergeant 3,143506.83,2013.68,12898.38,158418.89
2002,Community Health,Nursing,Registered Nurse,144577.23,0,13840.64,158417.87
1996,Public Protection,Police Services,Police Officer 3,127826.19,22593.23,7995.36,158414.78
2010,Public Protection,Police Services,Sergeant 3,137982.12,12297.35,8133.77,158413.24
1999,Public Protection,Fire Services,Firefighter,113827.04,28877.24,15706.21,158410.49
2005,Public Protection,Police Services,Police Officer,112703.26,37727.33,7978.43,158409.02
2008,Public Protection,Police Services,Police Officer,113781.81,35772.57,8854.55,158408.93
1997,Community Health,Nursing,Nurse Manager,132905.2,0,25501.99,158407.19
1994,Public Protection,Police Services,Sergeant 3,137186,8118.06,13096.07,158400.13
1999,Public Protection,Police Services,Police Officer 2,116584,21045.16,20770.03,158399.19
2007,Public Protection,Fire Services,"Insp, Fire Dept",136868.8,10578.64,10949.5,158396.94
1993,Community Health,Nursing,Registered Nurse,145960.55,0,12434.38,158394.93
2008,Public Protection,Fire Services,EMT/Paramedic/Firefighter,132131.62,8833.1,17429.86,158394.58
2010,"Public Works, Transportation & Commerce",Construction Inspection,Disability Access Coordinator,158384.94,0,0,158384.94
2017,Public Protection,Fire Services,"Lieutenant, Fire Suppression",131177.27,10204.03,17002.75,158384.05
2009,Public Protection,Fire Services,Firefighter,113827.04,25629.29,18926.42,158382.75
2001,Public Protection,Fire Services,"Lieutenant, Fire Suppression",130960.96,10205.88,17213.55,158380.39
2016,"Public Works, Transportation & Commerce",Street Transit,Transit Supervisor,88445.53,59005.28,10929.06,158379.87
1997,Community Health,Medical & Dental,Senior Physician Specialist,158375.33,0,0,158375.33
2005,"Public Works, Transportation & Commerce",Information Systems,IS Engineer-Principal,141668.73,0,16704.97,158373.7
2005,"Public Works, Transportation & Commerce",Skilled Labor,Wire Rope Cable Maint Mechanic,85178.13,61158.75,12035.59,158372.47
2017,Public Protection,Police Services,Police Officer 3,120671.53,27122.7,10576.69,158370.92
2015,Community Health,Management,Manager VI,158363.15,0,0,158363.15
1998,Public Protection,Police Services,Police Officer,110014.41,32573.7,15773.66,158361.77
2007,Community Health,Supervisory-Labor & Trade,Chief Stationary Engineer,105068.23,25376.54,27916.26,158361.03
2007,"Public Works, Transportation & Commerce","Lab, Pharmacy & Med Techs",Lab Svcs Mgr,158358.1,0,0,158358.1
2014,Community Health,Nursing,Registered Nurse,138192.81,59.34,20103.87,158356.02
1995,Public Protection,Police Services,Sergeant 3,137982.08,11631.87,8741.15,158355.1
2007,Public Protection,Police Services,Sergeant 2,141692.77,4576.8,12085.33,158354.9
2004,Public Protection,Fire Services,EMT/Paramedic/Firefighter,124280.59,20160.57,13911.91,158353.07
2010,Public Protection,Police Services,Sergeant 3,140365,10927.31,7056.97,158349.28
2014,"Public Works, Transportation & Commerce",Street Transit,Transit Supervisor,94601.1,60284.21,3461.55,158346.86
2006,Community Health,Information Systems,IS Business Analyst-Principal,139782.22,0,18562.21,158344.43
2016,Public Protection,Fire Services,Firefighter,96066.76,48821.8,13451.55,158340.11
1994,Public Protection,Correction & Detention,Deputy Sheriff,100575.08,48680.73,9079.99,158335.8
2001,Public Protection,Police Services,Police Officer 3,121248.89,25821.33,11262.25,158332.47
2011,Community Health,Nursing,Registered Nurse,128349.85,2544.32,27437.29,158331.46
2001,Public Protection,Fire Services,Firefighter,111640.54,29412.64,17277.56,158330.74
2010,Public Protection,Fire Services,Firefighter,133547.88,16088.18,8691.31,158327.37
1992,Public Protection,Police Services,Sergeant 3,137318.88,7790.55,13216.61,158326.04
2001,"Public Works, Transportation & Commerce",Professional Engineering,Landscape Architect Assoc 2,158322.6,0,0,158322.6
2015,Community Health,Nursing,Registered Nurse,131816.36,4659.48,21843.86,158319.7
2017,Public Protection,Police Services,Sergeant 3,139778.22,2778.94,15756.75,158313.91
2005,"Public Works, Transportation & Commerce",Professional Engineering,Eng/Arch/Landscape Arch Sr,158313.79,0,0,158313.79
2006,Public Protection,Fire Services,Firefighter,111414.61,31846.85,15045.82,158307.28
2014,Public Protection,Legal & Court,Attorney (Civil/Criminal),156868.88,0,1437.5,158306.38
2011,Community Health,Nursing,Clinical Nurse Specialist,158305.4,0,0,158305.4
2004,Public Protection,Fire Services,Firefighter,105654.1,42663.71,9983.29,158301.1
1992,Public Protection,Police Services,Police Officer 3,120041.45,28724.16,9534.11,158299.72
2013,Community Health,"Lab, Pharmacy & Med Techs",Pharmacist,154522,288,3487.37,158297.37
2008,Public Protection,Police Services,Police Officer 2,118886.34,18407.56,21002.01,158295.91
2013,Public Protection,Correction & Detention,Sheriff's Sergeant,117330.8,20436.42,20524.94,158292.16
2000,Community Health,Public Health,Public Health Nurse,152329.13,0,5962.61,158291.74
2009,Public Protection,Police Services,Sergeant 2,135951.8,425.51,21913.29,158290.6
2002,Public Protection,Police Services,Sergeant 3,140483.69,2735.65,15070.4,158289.74
2017,Public Protection,Police Services,Police Officer 2,117144.5,35574.31,5570.79,158289.6
1995,Public Protection,Fire Services,"Lieutenant, Fire Suppression",137323.87,5909,15052.23,158285.1
2004,General Administration & Finance,Management,Mayoral Staff XVII,158282.4,0,0,158282.4
1998,"Public Works, Transportation & Commerce",Journeyman Trade,Maintenance Controller,103982.4,28649.33,25646.91,158278.64
2011,Public Protection,Police Services,Police Officer 2,117144.5,25713.09,15420.72,158278.31
2012,Public Protection,Police Services,Sergeant 3,129895.04,1050.2,27332.31,158277.55
2006,General Administration & Finance,Information Systems,IS Business Analyst-Principal,121771.58,35962.22,540,158273.8
2003,"Public Works, Transportation & Commerce",Skilled Labor,Wire Rope Cable Maint Mechanic,79509,68594.33,10169.34,158272.67
2001,Community Health,"Lab, Pharmacy & Med Techs",Clinical Pharmacist,158272.55,0,0,158272.55
2006,Community Health,"Lab, Pharmacy & Med Techs",Clinical Pharmacist,158272.53,0,0,158272.53
1998,Community Health,"Lab, Pharmacy & Med Techs",Clinical Pharmacist,158272.5,0,0,158272.5
2001,Public Protection,Fire Services,"Captain, Fire Suppression",100452.15,0,57818.91,158271.06
1992,Public Protection,Police Services,Sergeant 3,138057.6,6105.13,14106.59,158269.32
2017,Public Protection,Police Services,Police Officer 3,120671.53,35903.72,1693.66,158268.91
2015,Public Protection,Fire Services,Firefighter,112889.8,28739.56,16637.59,158266.95
2016,General Administration & Finance,Legal & Court,Attorney (Civil/Criminal),157327,0,937,158264
1998,Public Protection,Fire Services,Firefighter,116099.56,28973.3,13189.44,158262.3
2014,Community Health,Nursing,Registered Nurse,151652,0,6608.55,158260.55
1998,"Public Works, Transportation & Commerce",Street Transit,"Manager IV, MTA",158259.23,0,0,158259.23
1996,"Public Works, Transportation & Commerce",Construction Inspection,Disability Access Coordinator,158256.63,0,0,158256.63
1997,Public Protection,Fire Services,EMT/Paramedic/Firefighter,72150.03,18672.49,67433.65,158256.17
2017,General Administration & Finance,Supervisory-Labor & Trade,Telecommunications Tech Supv,109356.05,23290.73,25598.36,158245.14
2017,Community Health,Nursing,Registered Nurse,148314.2,0,9922.39,158236.59
2008,"Public Works, Transportation & Commerce",Street Transit,Transit Supervisor,90984.6,56042.28,11209.66,158236.54
2014,Public Protection,Legal & Court,Attorney (Civil/Criminal),157296.8,0,937.5,158234.3
2000,Community Health,Nursing,Registered Nurse,145822.59,2121.47,10284.24,158228.3
1996,Community Health,Nursing,Special Nurse,128899.5,3159.46,26166.39,158225.35
2002,"Public Works, Transportation & Commerce",Journeyman Trade,Maintenance Machinist,83697.03,58867.09,15661.11,158225.23
2011,"Public Works, Transportation & Commerce",Street Transit,Transit Supervisor,89755.5,54543.14,13924.16,158222.8
1997,"Public Works, Transportation & Commerce",Administrative-DPW/PUC,Administrative Engineer,154877.43,0,3345.29,158222.72
2005,Public Protection,Fire Services,"Lieutenant, Fire Suppression",131177.26,6956.2,20087.64,158221.1
2017,Community Health,Nursing,Registered Nurse,128437.22,1371.15,28406.47,158214.84
1998,Public Protection,Police Services,Sergeant 3,139143.06,11443.26,7621.35,158207.67
2017,Community Health,Nursing,Registered Nurse,138143.01,829.74,19220.7,158193.45
1999,Public Protection,Police Services,Police Officer 3,119126.76,31987.77,7072.03,158186.56
2003,Community Health,"Lab, Pharmacy & Med Techs",Pharmacist,154503.03,0,3678.72,158181.75
2007,Public Protection,Correction & Detention,Senior Deputy Sheriff,116405.95,19124.34,22643.17,158173.46
2008,Public Protection,Fire Services,"Lieutenant, Fire Suppression",130944.53,10858.83,16368.22,158171.58
2007,Public Protection,Police Services,Police Officer 3,122486.15,20768.84,14892.87,158147.86
2014,Public Protection,Fire Services,Firefighter,101083.1,39979.33,17084.56,158146.99
2005,Public Protection,Correction & Detention,Sheriff's Sergeant,122033.48,10612.65,25493.12,158139.25
2008,"Public Works, Transportation & Commerce",Professional Engineering,Building Plans Engineer,158138.99,0,0,158138.99
2013,Public Protection,Fire Services,EMT/Paramedic/Firefighter,126109.52,16265.86,15763.61,158138.99
2003,Community Health,Nursing,Registered Nurse,126901.55,1514.59,29721.08,158137.22
2008,Public Protection,Correction & Detention,Senior Deputy Sheriff,116405.91,12867.94,28861.07,158134.92
2016,Public Protection,Police Services,Sergeant 3,139529.9,932.87,17669.08,158131.85
1999,Public Protection,Correction & Detention,Sheriff's Sergeant,117577.85,17637.45,22915.55,158130.85
1994,"Public Works, Transportation & Commerce",Journeyman Trade,Maintenance Machinist,89940.61,62286.45,5898.23,158125.29
2007,Public Protection,Police Services,Sergeant 3,138265.28,12413.4,7445.49,158124.17
2016,Public Protection,Police Services,Police Officer,112164.08,40780.83,5177.56,158122.47
2007,"Public Works, Transportation & Commerce",Journeyman Trade,Electr Maint Tech Asst Sprv,124053.32,17378.18,16689.61,158121.11
1998,Public Protection,Police Services,Police Officer 3,119412.5,22363.09,16344.2,158119.79
2017,Community Health,Nursing,Registered Nurse,147332.72,804.09,9979.34,158116.15
2011,Community Health,"Lab, Pharmacy & Med Techs",Clinical Pharmacist,155766.01,0,2346.65,158112.66
1994,"Public Works, Transportation & Commerce",Supervisory-Labor & Trade,Utility Plumber Supervisor 1,100009,34996.8,23097.97,158103.77
2011,Public Protection,Fire Services,Firefighter,110815.62,28181.27,19106.86,158103.75
1993,Community Health,Nursing,Nurse Practitioner,156973.19,0,1128.99,158102.18
1998,Community Health,Nursing,Nurse Manager,143723.9,0,14372.38,158096.28
2006,Public Protection,Police Services,Police Officer 3,119412.49,34999.39,3681.72,158093.6
2008,Public Protection,Police Services,Sergeant 3,143302.08,12270.86,2517.43,158090.37
2002,"Public Works, Transportation & Commerce",Professional Engineering,Assoc Engineer,158086.05,0,0,158086.05
1997,Public Protection,Correction & Detention,Senior Deputy Sheriff,112017.94,27970.33,18097.07,158085.34
2000,Public Protection,Fire Services,Firefighter,112889.8,28117.8,17075.69,158083.29
2005,Public Protection,Police Services,Police Officer,101477.65,33980.8,22624.04,158082.49
2008,"Public Works, Transportation & Commerce",Journeyman Trade,Electrical Transit System Mech,86524.21,56504.66,15052.41,158081.28
1998,Community Health,"Lab, Pharmacy & Med Techs",Pharmacist,97203,58303.48,2564.65,158071.13
1999,Community Health,Nursing,Registered Nurse,134171.06,1138.59,22758.96,158068.61
2017,"Public Works, Transportation & Commerce",Information Systems,IS Project Director,158067.5,0,0,158067.5
2005,Public Protection,Fire Services,Firefighter,112703.75,26119.84,19238.79,158062.38
1994,Public Protection,Police Services,Police Officer 3,120589.79,22966.36,14503.89,158060.04
1994,Public Protection,Police Services,Captain 3,156264.01,0,1792.42,158056.43
1997,Public Protection,Police Services,Sergeant 2,136489.27,12494.54,9070.87,158054.68
1992,Public Protection,Fire Services,Firefighter,113766.97,26866.25,17421.17,158054.39
1994,Public Protection,Police Services,Sergeant 3,140690.63,9570.53,7791.39,158052.55
2007,General Administration & Finance,Legal & Court,Attorney (Civil/Criminal),155768.18,0,2283.68,158051.86
2005,"Public Works, Transportation & Commerce",Information Systems,IS Project Director,158051.63,0,0,158051.63
1998,General Administration & Finance,Information Systems,IS Engineer-Principal,158051.63,0,0,158051.63
2002,"Public Works, Transportation & Commerce",Information Systems,IS Project Director,158051.62,0,0,158051.62
2012,Public Protection,Information Systems,IS Project Director,158051.62,0,0,158051.62
2000,General Administration & Finance,Information Systems,IS Engineer-Principal,158051.6,0,0,158051.6
2004,Community Health,Public Health,Public Health Nurse,152810.31,0,5238.6,158048.91
2002,General Administration & Finance,Information Systems,IS Engineer-Senior,141540.3,0,16506.32,158046.62
2012,General Administration & Finance,Journeyman Trade,Communications Systems Tech,119079.12,17414.59,21551.07,158044.78
2003,"Public Works, Transportation & Commerce",Supervisory-Labor & Trade,Chief Stationary Engineer,98625.3,49017.24,10399.95,158042.49
2015,"Public Works, Transportation & Commerce",Information Systems,IS Engineer-Principal,141668.73,0,16369.15,158037.88
2016,Public Protection,Police Services,Sergeant 3,136005.26,20469.28,1556.19,158030.73
2006,Public Protection,Police Services,Sergeant 3,142688.81,13625.87,1715.83,158030.51
2011,Community Health,Nursing,Registered Nurse,146775.51,0,11253.37,158028.88
2009,Public Protection,Fire Services,Firefighter,112165.06,28421.85,17435.24,158022.15
2017,Public Protection,Police Services,Sergeant 3,138579.06,1928.43,17513,158020.49
2012,Public Protection,Fire Services,Firefighter,110577.27,31580.33,15859.93,158017.53
2003,Public Protection,Fire Services,"Lieutenant, Fire Suppression",145890.9,0,12123.87,158014.77
2013,Public Protection,Correction & Detention,Sheriff's Sergeant,121820.65,8039.44,28153.14,158013.23
2000,Public Protection,Fire Services,Firefighter,112617.61,26643.3,18752.26,158013.17
2015,Public Protection,Police Services,Police Officer 3,117754.96,33244.1,7009.26,158008.32
2005,General Administration & Finance,Management,Dep Dir III,158007,0,0,158007
1994,"Public Works, Transportation & Commerce",Information Systems,IS Engineer-Senior,136397.98,0,21607.21,158005.19
1992,"Public Works, Transportation & Commerce",Professional Engineering,Engineer,158005.03,0,0,158005.03
1996,Public Protection,Police Services,Police Officer 3,120066.7,20739.28,17198.15,158004.13
2005,Public Protection,Police Services,Police Officer 3,123075.04,26740.46,8186.52,158002.02
1993,Community Health,Medical & Dental,Physician Specialist,118885.65,0,39110.06,157995.71
2013,Public Protection,Fire Services,Firefighter,116099.5,17686.66,24205.61,157991.77
1993,General Administration & Finance,Management,Dep Dir II,157989.55,0,0,157989.55
2005,Public Protection,Police Services,Police Officer 3,120590.07,24853.76,12544.65,157988.48
2013,Public Protection,Fire Services,Firefighter,113953.06,25356.09,18677.77,157986.92
2004,"Public Works, Transportation & Commerce",Professional Engineering,Eng/Arch/Landscape Arch Sr,153893.88,0,4085.58,157979.46
2006,"Public Works, Transportation & Commerce",Supervisory-Labor & Trade,Utility Plumber Supervisor 1,106132,34621.74,17220.98,157974.72
2015,Community Health,Nursing,Nurse Practitioner,154748.24,2974.27,250,157972.51
2009,Public Protection,Fire Services,Firefighter,112703.73,26360.56,18907.92,157972.21
2010,Community Health,"Lab, Pharmacy & Med Techs",Pharmacist,143576.73,1219.68,13169.95,157966.36
2011,General Administration & Finance,Legal & Court,Attorney (Civil/Criminal),157025,0,937,157962
1999,Community Health,Nursing,Nursing Supervisor,107452,0,50509.97,157961.97
1994,Public Protection,Fire Services,"Insp, Fire Dept",134989.2,14870.77,8099.35,157959.32
2000,Public Protection,Police Services,Police Officer 2,118886.44,25965.73,13104.96,157957.13
2005,Public Protection,Police Services,Police Officer 3,119412.5,16744.18,21799.69,157956.37
2015,Community Health,"Lab, Pharmacy & Med Techs",Clinical Pharmacist,151491.3,4490.54,1973.12,157954.96
